,accuracy,precision,recall,fscore,coders,ctype
0,0.965,0.9681528662420382,0.987012987012987,0.977491961414791,0,human
1,0.965,0.9622641509433962,0.9935064935064936,0.9776357827476039,1,human
2,0.925,1.0,0.9025974025974026,0.9488054607508533,2,human
